filename, language, JSON, JavaScript, HTML, Markdown, CSS, XML, comment, blank, total
e:\MYWORK\electron-test\README.md, Markdown, 0, 0, 0, 6, 0, 0, 0, 2, 8
e:\MYWORK\electron-test\main.js, JavaScript, 0, 76, 0, 0, 0, 0, 42, 19, 137
e:\MYWORK\electron-test\package-lock.json, JSON, 977, 0, 0, 0, 0, 0, 0, 1, 978
e:\MYWORK\electron-test\package.json, JSON, 32, 0, 0, 0, 0, 0, 0, 1, 33
e:\MYWORK\electron-test\src\aes.js, JavaScript, 0, 29, 0, 0, 0, 0, 6, 1, 36
e:\MYWORK\electron-test\src\bot.js, JavaScript, 0, 166, 0, 0, 0, 0, 36, 48, 250
e:\MYWORK\electron-test\src\canvas-blob.js, JavaScript, 0, 104, 0, 0, 0, 0, 15, 20, 139
e:\MYWORK\electron-test\src\img\logo.svg, XML, 0, 0, 0, 0, 0, 63, 1, 2, 66
e:\MYWORK\electron-test\src\img\tray.svg, XML, 0, 0, 0, 0, 0, 231, 1, 2, 234
e:\MYWORK\electron-test\src\index.html, HTML, 0, 0, 226, 0, 0, 0, 209, 48, 483
e:\MYWORK\electron-test\src\motd.js, JavaScript, 0, 2, 0, 0, 0, 0, 9, 0, 11
e:\MYWORK\electron-test\src\preload.js, JavaScript, 0, 203, 0, 0, 0, 0, 67, 59, 329
e:\MYWORK\electron-test\src\real.css, CSS, 0, 0, 0, 0, 51897, 0, 1, 10585, 62483
e:\MYWORK\electron-test\src\renderer.js, JavaScript, 0, 384, 0, 0, 0, 0, 95, 128, 607
e:\MYWORK\electron-test\src\style.css, CSS, 0, 0, 0, 0, 1575, 0, 60, 259, 1894
Total, -, 1009, 964, 226, 6, 53472, 294, 542, 11175, 67688
